更新时间: 2026-09-05 06:15:10（北京时间）仅供娱乐,切勿商用。
老故事,http://gslbmgsplive.miguvideo.com/migu/kailu/cctvlaogushi/50/20231109/index.m3u8?msisdn=884c3e587957656e686accc00717021b&mdspid=&spid=699004&netType=0&sid=5910022002&pid=2028597139&timestamp=20260905052051&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=884121956&ParentNodeID=-99&assertID=5910022002&client_ip=39.103.188.159&SecurityKey=20260905052051&promotionId=&mvid=5900006372&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=b8c2bf7da618e36bf883a159a629d3e0&ddCalcu=0be8v3cad2l9ba2f67ad9a5611a83e8386fb&sv=10004&ct=android
老故事,http://116.52.173.236:1234/884121956
老故事,http://182.61.15.163:80/884121956
老故事,http://60.168.105.200:5008/884121956
老故事,http://111.231.6.102:1234/884121956
中学生,http://27.12.12.92:1234/708869532
中学生,http://116.236.204.18:1234/708869532
中学生,http://110.154.192.90:7788/708869532
中学生,http://182.61.15.163:80/708869532
中学生,http://117.63.79.167:1234/708869532
中学生,http://111.231.6.102:1234/708869532
中学生,http://60.168.105.200:5008/708869532
中学生,http://116.52.173.236:1234/708869532
中学生,http://gslbmgsplive.miguvideo.com/migu/kailu/20210415/cctvzhongxuesheng/51/index.m3u8?msisdn=7723e86d41d95428ed6bd2f7ce6186c3&mdspid=&spid=699004&netType=0&sid=5910019355&pid=2028597139&timestamp=20260905052053&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=708869532&ParentNodeID=-99&assertID=5910019355&client_ip=39.103.182.111&SecurityKey=20260905052053&promotionId=&mvid=5900002149&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=3f4be24c96b86bb7d5c9564f1a1479f9&ddCalcu=93ffv94a7bz4ea12a41cf9466b5896cb5bd7&sv=10004&ct=android
发现之旅,http://60.168.105.200:5008/624878970
发现之旅,http://116.236.204.18:1234/624878970
发现之旅,http://111.231.6.102:1234/624878970
发现之旅,http://116.52.173.236:1234/624878970
发现之旅,http://27.12.12.92:1234/624878970
发现之旅,http://gslbmgsplive.miguvideo.com/wd_r3/cnr/faxianzhilv/2000/index.m3u8?msisdn=466919fe16056b94b1802c879c600c43&mdspid=&spid=699004&netType=0&sid=5500212893&pid=2028597139&timestamp=20260905052053&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=624878970&ParentNodeID=-99&assertID=5500212893&client_ip=39.103.182.111&SecurityKey=20260905052053&promotionId=&mvid=5100001701&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=7ef2eb001aa59929a7d64344e28125d7&ddCalcu=77dev5fa22l1ea8b20e0414a3a4569d972a9&sv=10004&ct=android
发现之旅,http://117.63.79.167:1234/624878970
发现之旅,http://182.61.15.163:80/624878970
发现之旅,http://110.154.192.90:7788/624878970
兵团卫视,http://117.63.79.167:1234/956923145
兵团卫视,http://116.52.173.236:1234/956923145
兵团卫视,http://110.154.192.90:7788/956923145
兵团卫视,http://gslbmgsplive.miguvideo.com/migu/kailu/btws/51/20250804/index.m3u8?msisdn=410080881fba3b020225ef88e95c7485&mdspid=&spid=600697&netType=0&sid=5910022192&pid=2028597139&timestamp=20260905052100&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=956923145&ParentNodeID=-99&assertID=5910022192&client_ip=39.103.182.111&SecurityKey=20260905052100&promotionId=&mvid=5900006716&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=3debdadb1b0649f66697c4a0fa8bc32e&ddCalcu=e32dv3eacbdbda8aadfb01ab40c674996f66&sv=10004&ct=android
兵团卫视,http://111.231.6.102:1234/956923145
兵团卫视,http://60.168.105.200:5008/956923145
兵团卫视,http://116.236.204.18:1234/956923145
兵团卫视,http://27.12.12.92:1234/956923145
兵团卫视,http://182.61.15.163:80/956923145
山东教育卫视,http://27.12.12.92:1234/609154353
山东教育卫视,http://182.61.15.163:80/609154353
山东教育卫视,http://gslbmgsplive.miguvideo.com/migu/kailu/sdjyws/51/20250915/index.m3u8?msisdn=4adc988e237fbc4e40100666366226aa&mdspid=&spid=600697&netType=0&sid=5910022199&pid=2028597139&timestamp=20260905052128&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=609154353&ParentNodeID=-99&assertID=5910022199&client_ip=39.103.188.159&SecurityKey=20260905052128&promotionId=&mvid=2200208305&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=6a547d6bcc691b0a32b052c969354b29&ddCalcu=962avb5a44b57a3d966b9ccc265901bb203a&sv=10004&ct=android
山东教育卫视,http://60.168.105.200:5008/609154353
山东教育卫视,http://116.52.173.236:1234/609154353
山东教育卫视,http://116.236.204.18:1234/609154353
山东教育卫视,http://110.154.192.90:7788/609154353
山东教育卫视,http://111.231.6.102:1234/609154353
山东教育卫视,http://117.63.79.167:1234/609154353
CHC动作电影,http://110.154.192.90:7788/644368714
CHC动作电影,http://182.61.15.163:80/644368714
CHC动作电影,http://117.63.79.167:1234/644368714
CHC动作电影,http://111.231.6.102:1234/644368714
CHC动作电影,http://27.12.12.92:1234/644368714
CHC动作电影,http://116.52.173.236:1234/644368714
CHC动作电影,http://116.236.204.18:1234/644368714
CHC动作电影,http://60.168.105.200:5008/644368714
CHC家庭影院,http://110.154.192.90:7788/644368373
CHC家庭影院,http://111.231.6.102:1234/644368373
CHC家庭影院,http://60.168.105.200:5008/644368373
CHC家庭影院,http://116.52.173.236:1234/644368373
CHC家庭影院,http://116.236.204.18:1234/644368373
CHC家庭影院,http://117.63.79.167:1234/644368373
CHC家庭影院,http://27.12.12.92:1234/644368373
CHC家庭影院,http://182.61.15.163:80/644368373
CHC影迷电影,http://117.63.79.167:1234/952383261
CHC影迷电影,http://111.231.6.102:1234/952383261
CHC影迷电影,http://182.61.15.163:80/952383261
CHC影迷电影,http://27.12.12.92:1234/952383261
CHC影迷电影,http://116.236.204.18:1234/952383261
CHC影迷电影,http://110.154.192.90:7788/952383261
CHC影迷电影,http://116.52.173.236:1234/952383261
CHC影迷电影,http://60.168.105.200:5008/952383261
CHC影迷电影,http://gslbmgsplive.miguvideo.com/migu/kailu/chcymdy/51/20250415/index.m3u8?msisdn=2f764c2a64c8b7b1d77a2c985a4d3ccd&mdspid=&spid=699004&netType=0&sid=5910022176&pid=2028597139&timestamp=20260905052119&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=952383261&ParentNodeID=-99&assertID=5910022176&client_ip=39.103.182.111&SecurityKey=20260905052119&promotionId=&mvid=5900006704&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=773ff2f0b042f76b6ea291241d4023f1&ddCalcu=17f7v33a2fa0fa42df104b2014922fa7e66b&sv=10004&ct=android
经典香港电影,http://110.154.192.90:7788/625703337
经典香港电影,http://116.52.173.236:1234/625703337
经典香港电影,http://60.168.105.200:5008/625703337
经典香港电影,http://182.61.15.163:80/625703337
经典香港电影,http://116.236.204.18:1234/625703337
经典香港电影,http://117.63.79.167:1234/625703337
经典香港电影,http://111.231.6.102:1234/625703337
经典香港电影,http://gslbmgsplive.miguvideo.com/wd_r2/virtuallive/5100180869/150/index.m3u8?msisdn=44fc2454ea7ec258534dcdd8937e2131&mdspid=&spid=800033&netType=0&sid=5500242089&pid=2028597139&timestamp=20260905052119&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=625703337&ParentNodeID=-99&assertID=5500242089&client_ip=39.103.188.159&SecurityKey=20260905052119&promotionId=&mvid=5100180869&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=45461784e947432a34a7c9800a1c628c&ddCalcu=c485v24a66bc1a17a8040e8994c774a3423a&sv=10004&ct=android
经典香港电影,http://27.12.12.92:1234/625703337
抗战经典影片,http://110.154.192.90:7788/617432318
抗战经典影片,http://27.12.12.92:1234/617432318
抗战经典影片,http://116.52.173.236:1234/617432318
抗战经典影片,http://111.231.6.102:1234/617432318
抗战经典影片,http://116.236.204.18:1234/617432318
抗战经典影片,http://60.168.105.200:5008/617432318
抗战经典影片,http://182.61.15.163:80/617432318
抗战经典影片,http://117.63.79.167:1234/617432318
快乐垂钓,http://116.236.204.18:1234/961930263
快乐垂钓,http://27.12.12.92:1234/961930263
快乐垂钓,http://111.231.6.102:1234/961930263
快乐垂钓,http://60.168.105.200:5008/961930263
快乐垂钓,http://110.154.192.90:7788/961930263
快乐垂钓,http://117.63.79.167:1234/961930263
快乐垂钓,http://182.61.15.163:80/961930263
快乐垂钓,http://gslbmgsplive.miguvideo.com/migu/kailu/ydcmklcd/51/20251225/index.m3u8?msisdn=605224c5e25a97f40f869e4b82981472&mdspid=&spid=600603&netType=0&sid=5910022317&pid=2028597139&timestamp=20260905052117&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=961930263&ParentNodeID=-99&assertID=5910022317&client_ip=39.103.188.159&SecurityKey=20260905052117&promotionId=&mvid=5900006783&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=474897bd45ec381fad6a20b199c95241&ddCalcu=1447v24a58a99ac79b9d14b50e2ca368d1af&sv=10004&ct=android
快乐垂钓,http://116.52.173.236:1234/961930263
四海钓鱼,http://111.231.6.102:1234/637444975
四海钓鱼,http://117.63.79.167:1234/637444975
四海钓鱼,http://116.236.204.18:1234/637444975
四海钓鱼,http://gslbmgsplive.miguvideo.com/wd_r4/peoplecn/shdiaoyu/1200/index.m3u8?msisdn=9bec8e903d1d71c2ba6e836bd886273d&mdspid=&spid=600697&netType=0&sid=5910022184&pid=2028597139&timestamp=20260905052116&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=637444975&ParentNodeID=-99&assertID=5910022184&client_ip=39.103.188.159&SecurityKey=20260905052116&promotionId=&mvid=5100132656&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=8887a7f2f38194c8897ebd8a59ad606c&ddCalcu=c868v08a67ldaaa79f52af83d8b1e9749c88&sv=10004&ct=android
四海钓鱼,http://110.154.192.90:7788/637444975
四海钓鱼,http://182.61.15.163:80/637444975
四海钓鱼,http://60.168.105.200:5008/637444975
四海钓鱼,http://116.52.173.236:1234/637444975
四海钓鱼,http://27.12.12.92:1234/637444975
优漫卡通,http://182.61.15.163:80/626064703
优漫卡通,http://116.52.173.236:1234/626064703
优漫卡通,http://60.168.105.200:5008/626064703
优漫卡通,http://111.231.6.102:1234/626064703
优漫卡通,http://27.12.12.92:1234/626064703
优漫卡通,http://116.236.204.18:1234/626064703
优漫卡通,http://110.154.192.90:7788/626064703
优漫卡通,http://117.63.79.167:1234/626064703
优漫卡通,http://gslbmgsplive.miguvideo.com/wd_r2/jstv/ymkt/600/index.m3u8?msisdn=1622c062978ac98604c0733ae9e3317e&mdspid=&spid=699067&netType=0&sid=5500260553&pid=2028597139&timestamp=20260905052109&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=626064703&ParentNodeID=-99&assertID=5500260553&client_ip=39.103.188.159&SecurityKey=20260905052109&promotionId=&mvid=5100186455&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=edb39fe12527100ff6d54e34cd388319&ddCalcu=9e1dv3ba83x89a3fdec14235e24751d060ff&sv=10004&ct=android
嘉佳卡通,http://116.52.173.236:1234/614952364
嘉佳卡通,http://111.231.6.102:1234/614952364
嘉佳卡通,http://60.168.105.200:5008/614952364
嘉佳卡通,http://116.236.204.18:1234/614952364
嘉佳卡通,http://27.12.12.92:1234/614952364
嘉佳卡通,http://110.154.192.90:7788/614952364
嘉佳卡通,http://gslbmgsplive.miguvideo.com/wd_r1/2018/nfmedia/jjkt/1000/index.m3u8?msisdn=0f11132d20428f7a9291a574dc858713&mdspid=&spid=699054&netType=0&sid=2206172388&pid=2028597139&timestamp=20260905052123&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=614952364&ParentNodeID=-99&assertID=2206172388&client_ip=39.103.188.159&SecurityKey=20260905052123&promotionId=&mvid=2206172388&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=3e2637b98b8a933cc8c9d1ebe24641e5&ddCalcu=53eev12a46b63a472be9b8eb18da99c383cc&sv=10004&ct=android
嘉佳卡通,http://182.61.15.163:80/614952364
嘉佳卡通,http://117.63.79.167:1234/614952364
中国天气,http://182.61.15.163:80/959986621
中国天气,http://110.154.192.90:7788/959986621
中国天气,http://60.168.105.200:5008/959986621
中国天气,http://27.12.12.92:1234/959986621
中国天气,http://111.231.6.102:1234/959986621
中国天气,http://117.63.79.167:1234/959986621
中国天气,http://116.236.204.18:1234/959986621
中国天气,http://116.52.173.236:1234/959986621
中国天气,http://gslbmgsplive.miguvideo.com/migu/kailu/zgtq/51/20251103/index.m3u8?msisdn=a083f00cc4cb8505b09dca41c80b34d8&mdspid=&spid=600697&netType=0&sid=5910022296&pid=2028597139&timestamp=20260905052125&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=959986621&ParentNodeID=-99&assertID=5910022296&client_ip=39.103.188.159&SecurityKey=20260905052125&promotionId=&mvid=5900006772&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=3a5156c0fc58651b002297c2daee121c&ddCalcu=c31av25a11we5ae6acd02fcc75982625010b&sv=10004&ct=android
橙記Orange丶,https://live.ottiptv.cc/douyu/4549169
baby丶贝贝,https://live.ottiptv.cc/douyu/431460
小毅主播e,https://live.ottiptv.cc/douyu/11851549
小毅主播q,https://live.ottiptv.cc/douyu/6906628
奇光主播,https://live.ottiptv.cc/douyu/8009547
奇光主播e,https://live.ottiptv.cc/douyu/11849873
奇光主播q,https://live.ottiptv.cc/douyu/12560807
Poison丶冰冰,https://live.ottiptv.cc/douyu/74374
Only丶邵氏,https://live.ottiptv.cc/douyu/4246519
米尼影院,https://live.ottiptv.cc/douyu/7642724
苹果Zei甜,https://live.ottiptv.cc/douyu/1174353
苹果Zei妖,https://live.ottiptv.cc/douyu/2793084
网神影厅,https://live.ottiptv.cc/douyu/508118
老高与小茉的死忠粉,https://live.ottiptv.cc/douyu/236461
世界未解之谜M,https://live.ottiptv.cc/douyu/9369468
老烟斗鬼故事,https://live.ottiptv.cc/douyu/2337939
宇宙探索飞船,https://live.ottiptv.cc/douyu/9456028
铁甲影院,https://live.ottiptv.cc/douyu/1274132
7师傅,https://live.ottiptv.cc/douyu/17732
龍組队长天昊,https://live.ottiptv.cc/douyu/1487654
奇兮兮悄陌,https://live.ottiptv.cc/douyu/953193
伊太刀刀,https://live.ottiptv.cc/douyu/747764
蓝翔新三国,https://live.ottiptv.cc/douyu/5908256
竹叶的熊猫,https://live.ottiptv.cc/douyu/3870925
懒猫是只喵,https://live.ottiptv.cc/douyu/260322
万事通熊猫,https://live.ottiptv.cc/douyu/7812810
牛叔说电影,https://live.ottiptv.cc/douyu/2758565
白了个痴,https://live.ottiptv.cc/douyu/319576
火龙果讲电影本人,https://live.ottiptv.cc/douyu/2039501
电影迷小雅,https://live.ottiptv.cc/douyu/9639225
怪兽马提尼电影,https://live.ottiptv.cc/douyu/9075333
王坑坑聊电影,https://live.ottiptv.cc/douyu/9402110
刘哔电影,https://live.ottiptv.cc/douyu/2632223
贝爷求生影视,https://live.ottiptv.cc/douyu/9661369
周星驰的直播间,https://live.ottiptv.cc/douyu/8257039
小涛讲电影V,https://live.ottiptv.cc/douyu/8415464
周星星,https://live.ottiptv.cc/huya/11342412
武林萌主唐小姐,https://live.ottiptv.cc/huya/11336726
若芸芸,https://live.ottiptv.cc/huya/31217965
悠悠爱电影,https://live.ottiptv.cc/huya/30611864
涂涂观影团,https://live.ottiptv.cc/huya/30513350
亚、娜,https://live.ottiptv.cc/huya/30581465
影迷心公社,https://live.ottiptv.cc/huya/30522289
7喜先生,https://live.ottiptv.cc/huya/11342421
沐希兔子,https://live.ottiptv.cc/huya/29835225
都爱看,https://live.ottiptv.cc/huya/26058097
CGTN,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-NEWS/G_CCTV-NEWS.m3u8?p=GITV&area=GD_CUCC&%242M=
大湾区卫视,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_NANFANG/G_NANFANG.m3u8?p=GITV&area=GD_CUCC&%242M=
农林卫视,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_NONGLIN/G_NONGLIN.m3u8?p=GITV&area=GD_CUCC&%242M=
延边卫视,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_YANBIAN/G_YANBIAN.m3u8?p=GITV&area=GD_CUCC&%242M=
兵团卫视,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_BINGTUAN/G_BINGTUAN.m3u8?p=GITV&area=GD_CUCC&%242M=
康巴卫视,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_KANGBA/G_KANGBA.m3u8?p=GITV&area=GD_CUCC&%242M=
安多卫视,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_ANDUO/G_ANDUO.m3u8?p=GITV&area=GD_CUCC&%242M=
卡酷少儿,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_KAKU/G_KAKU.m3u8?p=GITV&area=GD_CUCC&%242M=
金鹰卡通,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_JINYING/G_JINYING.m3u8?p=GITV&area=GD_CUCC&%242M=
优漫卡通,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_YOUMAN/G_YOUMAN.m3u8?p=GITV&area=GD_CUCC&%242M=
哈哈炫动,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_XUANDONG/G_XUANDONG.m3u8?p=GITV&area=GD_CUCC&%242M=
家庭理财,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_JIATINGLC/G_JIATINGLC.m3u8?p=GITV&area=GD_CUCC&%242M=
中华美食,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_ZHONGHUAMS/G_ZHONGHUAMS.m3u8?p=GITV&area=GD_CUCC&%242M=
天元围棋,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_TIANYUANWQ/G_TIANYUANWQ.m3u8?p=GITV&area=GD_CUCC&%242M=
北京纪实科教,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_BEIJINGJS-HD/G_BEIJINGJS-HD.m3u8?p=GITV&area=GD_CUCC&%244M=
纪实人文,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_SHANGHAIJS-HD/G_SHANGHAIJS-HD.m3u8?p=GITV&area=GD_CUCC&%246M=
动物园1,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_ZOO-101/G_ZOO-101.m3u8?p=GITV&area=GD_CUCC&%243M=
动物园1_2,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_ZOO-102/G_ZOO-102.m3u8?p=GITV&area=GD_CUCC&%243M=
动物园2,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_ZOO-201/G_ZOO-201.m3u8?p=GITV&area=GD_CUCC&%243M=
动物园3,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_ZOO-301/G_ZOO-301.m3u8?p=GITV&area=GD_CUCC&%243M=
动物园4,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_ZOO-401/G_ZOO-401.m3u8?p=GITV&area=GD_CUCC&%243M=
动物园5,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_ZOO-501/G_ZOO-501.m3u8?p=GITV&area=GD_CUCC&%243M=
动物园6,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_ZOO-601/G_ZOO-601.m3u8?p=GITV&area=GD_CUCC&%243M=
动物园7,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_ZOO-701/G_ZOO-701.m3u8?p=GITV&area=GD_CUCC&%243M=
动物园8,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_ZOO-801/G_ZOO-801.m3u8?p=GITV&area=GD_CUCC&%243M=
动物园9,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_ZOO-901/G_ZOO-901.m3u8?p=GITV&area=GD_CUCC&%243M=
爱上4K[超清],http://114.254.89.131:2222/rtp/239.3.1.236:2000
4K超清[超清],http://114.254.89.131:2222/rtp/239.3.1.249:8001
淘电影[高清],http://114.254.89.131:2222/rtp/239.3.1.250:8001
每日影院[高清],http://114.254.89.131:2222/rtp/239.3.1.111:8001
纪实人文[高清],http://114.254.89.131:2222/rtp/239.3.1.212:8060
金鹰纪实[高清],http://114.254.89.131:2222/rtp/239.3.1.58:8156
风尚生活[高清],http://114.254.89.131:2222/rtp/239.3.1.114:8001
淘剧场[高清],http://114.254.89.131:2222/rtp/239.3.1.95:8001
幸福剧场[高清],http://114.254.89.131:2222/rtp/239.3.1.112:8001
淘娱乐[高清],http://114.254.89.131:2222/rtp/239.3.1.100:8001
幸福娱乐[高清],http://114.254.89.131:2222/rtp/239.3.1.113:8001
淘Baby[高清],http://114.254.89.131:2222/rtp/239.3.1.238:8001
萌宠TV[高清],http://114.254.89.131:2222/rtp/239.3.1.102:8001
中国交通[高清],http://114.254.89.131:2222/rtp/239.3.1.188:8001
朝阳融媒[高清],http://114.254.89.131:2222/rtp/239.3.1.163:8001
通州融媒[高清],http://114.254.89.131:2222/rtp/239.3.1.221:8001
密云电视台[高清],http://114.254.89.131:2222/rtp/239.3.1.154:8001
房山电视台[高清],http://114.254.89.131:2222/rtp/239.3.1.96:8001
金鹰卡通,http://114.254.89.131:2222/rtp/239.3.1.51:9252
CCTV4K,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/cctv4k/15000000/mnf.m3u8
欢笑剧场-4K,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/dsjc8m/8000000/mnf.m3u8
欢笑剧场,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/hxjc8m/8000000/mnf.m3u8
东方影视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/dfyshd8m/8000000/mnf.m3u8
上海新闻,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/xwzhhd8m/8000000/mnf.m3u8
